DayOfWeek,TimeOfDay,ScaledTime,IP_Address,IP_AsRank,IP_AsAttackCount,IP_AsRandomInt,Port,PortNormalised,Uname,UName_AsRank,UName_AsCount,UName_AsRandomInt,Country,City,Loc_X,Loc_Y,Loc_Z
2,16,0.5279547062986554,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,26457,0.2487384109846262,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.5444680349138948,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,40978,0.532762195360482,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5451757489974051,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,60527,0.9151312443766381,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.5461193677754187,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,39947,0.5125963306341196,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5477707006369427,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,41248,0.5380432656573955,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5494220334984666,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,39307,0.5000782380784728,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.551309271054494,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,38218,0.478777921214255,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.552960603916018,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,40863,0.5305128506043891,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5548478414720452,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,43087,0.5740132222352619,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5564991743335692,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,41083,0.5348159449203927,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.5583864118895966,"""221.194.47.211""",0.5555555555555556,0.25806451612903225,0.375,42194,0.556546571216211,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.6194857277659825,"""59.45.175.32""",0.0,1.0,0.875,45847,0.6279974963814888,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6206652512384997,"""59.45.175.32""",0.0,1.0,0.875,45847,0.6279974963814888,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6291578202406228,"""59.45.175.32""",0.0,1.0,0.875,15541,0.035226694832374915,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6301014390186365,"""59.45.175.32""",0.0,1.0,0.875,15541,0.035226694832374915,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6416607690493041,"""59.45.175.32""",0.0,1.0,0.875,22554,0.17239760591479875,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6494456239679169,"""59.45.175.32""",0.0,1.0,0.875,41990,0.5525564292140985,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.6843595187544232,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,48814,0.6860305910886829,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.6881339938664779,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,28733,0.29325587763564526,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.7055909412597311,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,54769,0.802507530415053,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
